,Actual,Predicted
141,"good morning how are you? can you please let me know if you are giving out food in croix des bouquets, especially where i am right now in latremblay. we need food.",i find a i  to  i we i to  we to                                              
142,i do not have a mosquito net. what should i do?,i please i  to i need  need                                                   
143,if a house does not have cracks/crumbles is it safe to go in?,what that the to  the                                                      
144,need help at crois des bouquets. . help have not arrived yet!,i love a the        have we   to   we   and the   we to                                 
145,we are in clercine 4. the t?koa adventist church is our location.,we please in  and in we                                                     
146,do you know people who went to the country side using the government transportation would be able to come back to port-au-prince because i saw the took their pictures and their fingerprints?,i the a the                                                        
147,"good morning! we are not find any thing since almost 15 days, we are living in sartre in the laplaine area. we sent messages, but no response. we are ready to do what you said but. ..",i love the         because the              to  the                               
148,i am writing you to let you know that we did not find anything in leogane ( chantiley ) barrire rouge entrance. we are sleeping outside.,i love a to      the  i  the  i  the                                          
149,"we are hungry, we are tired and we need tents to sleep in. please help us because so far no one has. we are at avenue magloire ambroise prolongee number 363 bis ",i are a the   to  the   we   the  we food we                                         
150,"no location : we need food, water, tents, diapers, cookies, sugar, please help us.",i find a the to i to i   the                                                 
151,my living condition is very critical.,what that i do to the                                                      
152,information on the earthquake.,but is the                                                         
153,"here in jacmel, the food is badly distributed. it's rice, sugar, flour we should eat. we ask for the central bank to raise the american dollar higher because. .. ",we are in      we  you  the   we the we                                          
154,i would like to get some information about getting a visa for us to go to senegal please.,i find a i  to  i we i to i  to                                              
155,u ceisme ( ? ) i've lost everything i want you to help me.,the                                                           
156,what precautions am i able to take after the earthquake? ,i find i to  i   to                                                   
157,im writing to say they should send aid to arrive in everyone's hands ,i   to                                                        
158,together we are about dozen of us. help us please. please. ,we please help we   this in                                                    
159,"we live in l'acul petit-goave #1 we need food, and tent please. please take our case in consideration because we are dying. ",we are in the    in the         we  the                                        
160,address is champs de mars in dessalines. i need help. ,we please in the and in  the                                                    
161,i am situated in a locality ..? one that is situated in the section leste ,we please the  we  for                                                     
162,i'm a victim of the disaster. my home has broken down. am i allowed to go to the dominican republic? i have a passport. ,i find i  to i                                                      
163,"hello, how did the people that were injured, their house broken down have the time to get out of port-au-prince? how can i take advantage of that? ",i love a to the           to the                                           
164,"i'm a young student in computer science, who has suffered a lot during and after the earthquake of january 12th. all my family has died an i feel alone. i wanted to live. ",i find a to i          to  i         to                                  
165,when with educational/scholarly activities start in the west and south-east because.. ,we of the  to we the for                                                    
166,"in the provinces there is never electricity, most of all in the region of bas-artibonite, in the commune of verrettes ",we please help this in                                                       
167,"i need help, i have a one year old child and i can't find enough water or food for him and my wife, i have to spend the day at my .. ",i have in the    we        to we food we food we food we    to                                 
168,notes: personal opinion. not an emergency.,i love a to the    to the     to      the       to                                
169,there are about 20 houses that are damaged and hundreds of victims coming out of port-au-prince. we would like to assist them as possible ,i the           in the                                              
170,hello. isn't there any other information i should know for today after the information you've sent me. please. ,i would a to      the  to i the                                              
171,please send food for the victims in st-marc ,what is the                                                         
172,"please come help my family because we are in need. it is a small place, 4th section #50 bis, delmas 33. i am canaan dorelien. ",i love a to i to        the  to  the                                          
173,cannnot reach anyone in phone books .please do this for me for the love of god ,i find a i    to  i                                                  
174,"i have problems. my house is destroyed. i am hungry. i'm asking you to help me, please. i have 4 children. ",i find a i                                                        
175,i would like to thank very much all the doctors who came to help after the massive earthquake that hit the country. god bless you. stay firm and strong. ,i love the              to the                                          
176,all the good that you do on this earth is written in the sky. thsnk you ,we please have the we                                                       
177,"hallo if you're still alive consider that you're a new born,if they ask you how old are you,dont be affraid,say that you have 14 days thank god,each hour thank god again. ",i   to the         i       the      to                                 
178,notes: not an emergency. discard.,i find a i  to i to    i                                                
179,there are some groups that have set themselves up in several neighborhoods. we are trying to organize some sort of work or activities that would enable the people to return to a more normal psychological condition. we need some way to communicate by t(cut off). ,i love the             to  the        to  the                                
180,"we have not yet received any form of aid. there are a lot of us who left port-au-prince, well it would be better if we go back to port-au-prince! ",we are in the  to   we        food                                           
181,"the people act like this,cause they are hungry.in the case of the government will start thinking about us then we can project an other picture more human. ",i find a the     in the in  the have we  the to we  to  the      to                               
182,what is the government going to do about all the homes that have not been cleaned up in port-au-prince? ,i is the  to                                                       
183,"we need for the state to do all that is possible for the people who are suffering find care in the hospitals like gonaives, they have never reached us. they are people suffering, there are no medicine. ",i the                                                          
184,we in fort jacques have not found anything. we are in fort jacques prolong. ,we please the     in                                                    
185,"in dessalines, 3rd section, in a place named petit place there are a lot of people who left port-au-prince. they don't have houses, they are hungry. send some help for the people who are writing. ",the                                                           
186,plafocrac is asking to send food and water to the saint (unknown word) lycee jacques 1st cois-de-bouquet because they cannot stand it anymore. ,i the                                                          
187,"we need food, water, in clercine 12, we are starving in chretien street ( dead end ), we are hungry and we are sick ",we are in  you we  are we                                                   
188,"we need sheltery we're in the street, sleeping outside. please. ",we please in  we                                                       
189,i would like to know which schools are opening in the zones not struck by the earthquake ,i find a to      i to  i to                                              
190,"this misery will kill me, please help me. ",i love a the to the                                                      
191,"how will the construction effort takes place. the government must intervene, we can not let the people build next to a ditch - they must obtain authorization from the government before building. ",i find a i  to i           to  i    to                                    
192,i would like to help out in my area with children who have no food because of the earthquake. what can i do? ,i find a i            to i                                           
193,i need to know more information about the eartquake. ,i that i to  the a                                                     
194,"i would like to know, if someone did not go to the mayor's office, would she/he be able to have the card. ",i find a the to  i                                                     
195,i thought the aftershocks were over. it seems that they are still producing. can they alert us on that please. ,i of how the  i                                                      
196,i would like to get a job in any organization ,we are in the                                                        
197,leogane. we have been victims of this catastrophe. our houses.. ,what that the  to the                                                      
198,i need to get all official infos please thanks ,i find i  to morning i                                                     
199,"the hospital sans frontiere need blood for those who still live,we need care now otherwise we die ",i is a the  to    the                                                  
200,"what do we see in this gouvernement do not talk about the students who died,and they want to open school,,,,i need more infos about that ",i love the            to  the          to   the                              
201,"i have asthma, i can't find a pump or a pill called asthma vit. i have no tent to sleep. can you help me please. ",i are in the   to   we to  we the to                                             
202,i would like information about the earthquake or others thanks ,we are in the we   have we                                                   
203,"we live in tabarre, chemin lespinasse. we did not receive coupon for food, what should we do? ",i find of the to  in the we in  to the  i to of                                           
204,"martissant, specially in bra, we need food,water and security! ",when are the  in the                                                      
205,"we are in leogan. we can't find any aid that was distributed. please we in leogan need help, especially outside of the city on rue darboun. ",we are in the    are the    we   the  we   the                                       
206,there is no pam in gressier. where can i find the card please? ,i find a i                                                        
207,and those folks who are not in the city don't have enough food i don't have enough. ,i are in the                                                        
208,"not everybody got help, in riviere froide in carrefour we did not get anything at all, people are dying of hunger. ",i find a to i  the  to  the to the i to     will to  the   to                                  
209,is it true that there is a meeting for those who had already taken the medical and psychological testing on february 5th? ,i is a the                                                        
210,we are in sapotille carrefour terrain dochamo. today is the 21st day we have found nothing to eat. ,we are in    we                                                     
211,onnen there is no distribution of food and water in fort jacques area ,we the                                                          
212,in what hospital someone can have free treatment ,we the                                                          
213,"one cannot learn how to become a stylist in haiti, it's too bad. but i want to make my dreams come true, i am a big dreamer, i feel very lonely my days and ",i love not would i  the  i   to i  to   i  to i     to i to i   to                            
214,"digicel, i am a good customer of your enterprise. this is a private demand. my house is destroyed and i need aid. the money you give to the government will solve nothing. you know that well. ",i would not to i  to i   to   the   to i       the   i                                
215,"lost passport in the earthquake, can you help him find it. ",i find a i       the i                                                
216,"the government must find a way to bring food like rice, corn, oil, flour, sugar and peas and other foodstuff. also, the government has to send seeds to the peasants to cultivate the land. ",i love the                                                         
217,will there be a tsunami in haiti..thank you ,i that i  to                                                       
218,something about how the lesson of the rain is getting to know them (literal translation). i take it to mean they are tired of the rain ,what that i do to the                                                      
219,you never came to help us in my place ,i find the  to  i to  the                                                  
220,we are hungra please help us now otherwise we die ,we are the                             are                            
221,we sent a request for pam food distribution. where and how can we find food? ,i find of the of to   we in  to we to  of                                            
222,"what will we get from solidarity with 4636, when we look in solino, we never find any of the aid that's being given ",i the                                                          
223,how long before they fix my house? ,i please i to    the                                                    
224,"the sms hunger and thirst and other parties who have no where to get help and ask again,we are placed in these areas trying to think of another way for all ",we are the      we   the     to the we   the    to   the                               
225,please i need information on where to get a card to get food ,we please the                                                         
226,"why don't you call me, to give me food,i'm staving ",i find i  to  i                                                     
227,what kind of precaution can people in petit goaves take? ,i of the  to the for  the                                                   
228,people in central of haiti need help. overcrowded cities ,we please the  to                                                       
229,do the flies in the street carry illnesses? ,i that the  to the  to the                                                   
230,"our... we have 401 destroyed and damaged houses, 1987 people temporarily homeless people. please help us reach the concerned authorities ",we love the             to  the food we the    to                                   
231,where will the minister put people who are on the streets? ,what is the                                                         
232,"need tents and help for my family and myself, we are sleeping outside under the moon in the streets in butte boyer ",we are in    we                                                     
233,"i need some information on the earthquake, please. i people are saying there is a new one coming that will be worst. please, help us. ",i find i to i                    to                                   
234,its is whom that is talking exactly? ,when is the  in                                                       
235,"i am an it guy, my house is broken, my wife is a civil engineer, we have a baby. i need work please. ",i love the            to the   to the         to the                              
236,i've lost everything. what am i supposed to do without shelter? ,we please help we and we the                                                     
237,"i have an organization recognized by social affaires, what must i do to find humanitarian aid? ",we tomorrow haitians you  the    without   authorities  the                                             
238,good morning i would like to know the electronic address which is talking about people that are interesting on sending there resume for the jobs avalaible. thanks ,we are a the                                                        
239,"help, delmas 4, st martin street area.we didn't receive any help at all. ",we the                                                          
240,they have to bring tents thank you for your understanding ,i find a the to the to the                                                    
241,my house is distroyed and i have no job. i would like to have a job to take care of the needs of my family. ,the            in the                                              
242,"please don't waste time coming forward, the situation is becoming complicated. ",i that the  to the                                                      
243,why has mahotie 75 and impasse la paix in carrefour never found aid? ,we are in the                                                        
244,"good evening, how are you all? i'd love to know more information we have that number there 4636! ",i find in the to we                                                      
245,"25 years old martissant 23 ,social worker ",i love a to the                                                       
246,good morning i would like to have some information ,we the                                                          
247,hello. i am looking for work. i would like to have an idea of the different institutions where i might find a good job ,i find of i of to    i to i of to                                              
248,"i want to know the true answer. do you deal with emergency medicine,temporary shelter and other help (aid)? i'm waiting for your answers. ",i is the    to  the   to the to   the                                           
249,"the tents we are using are made of sheets. please come to our rescue. we need tent, food, water.. thank you. ",we are in      we                                                   
250,"this is the red cross at petite-riviere de l'artibonite. let anyone who is helping know that there is a lot of disaster victims over there and, they did not receive any form of aid whatsoever. ",i love a the to     the  to i to the  to                                           
251,where can you send me to get service. i can either pay you by the month or the fortnight (every 15 days). thank you. ,i find a the to                                                       
252,we need a tent so we can get ready for the rains. thank you. ,i that i to  the for                                                     
253,it would be better for me if you would call me ,what that we to  the                                                      
254,"i am a student and i need a job ,tell me where to give my cv thanks ",i find a the to the      to i to                                              
255,i would really like employment in an ngo job posted in www.jobpam. do i have to go to a cyber cafe to post availability for job seekers in port au prince. ,i find a of i                                                       
256,additional information about mosquitoes. ,what is the                                                         
257,"we need an organization in leogane, the i area it is an emergency we need help for 800 families, and a doctor for the children. ",we are the         to we the   to the we the                                        
258,"we are a group responsible of the victims on the road grand ravin,we dont have help yet ",we are in the   in are the we the we   the  we    the                                       
259,the committee is awaiting a response from the institutiones agency. and thank you for accepting our letter ,i love a to  the  to  the                                                  
260,we congratulate radio signal fm for the good work ,we are in   the we in we the   we the and the    we                                        
261,food medicament for the health center of terre rouge ,i find a the  to    the to                                                 
262,what do you see those american people are doing in this country now? ,what is the                                                         
263,how's the education in haiti? ,i that i to   a                                                     
264,we need food can you help us? ,i find a the to  i  to                                                   
265,the food is badly distributed in the commuity. bigger people take more and some victims are complaining. ,i is a the to    the   to the to    the                                          
266,"the advices are good is true, but i can't put them into pratice because i can't hardly live. i still feel that i'm under rubbles. please help me live i'm tire. ",i find how the                                                        
267,"statement of qualification. certified in social science, student in science ",i find i  to i   to                                                   
268,..fia affected at the normal school in canape vert. i want.. ,we are in the   we                                                     
269,hello my dad was telling me that i could photocopy my passport what do you think immigration can do for me in these moments ok thanks for answering ,i find a i       to  i                                               
270,hallo we need tents can you send as many you can?? it s urgent ,i find a i                    need                                    
271,they poorly distributing the helps because only women are getting them ,i the                                                          
272,i'd like to know what's going on in haiti. ,what that we do the                                                       
273,"yes, i would like to work cleaning my country. ",i that i to   a                                                     
274,"hello, my friends please tell someone. we are in the area of the airport, delma 15. they forgot us. ",we are in the we to   we      to  food                                           
275,"they're saying there will be a blackout during the next 3 days, and other things. send a clear message for haitians. ",i   to     i to                                                  
276,when will the haitian homeland security will begin printing new passport? ,but is the                                                         
277,"when i'm done, where do i have to throw them away ",what is the                                                         
278,i'd like to know info on grand goave. thank you ,what is the                                                         
279,4636: united nations tells you current access to remove all garbage and gravel in #. ,we are in the   we                                                     
280,hello i am a translator and i would like help finding work. i wait impatiently for your answer. sincerely yours. ,i is a the to     the  to the  to   the                                          
281,thank you for your information ,we are in      we the   in  the                                             
282,i have not gotten any help yet. that is his business. ,what that i do to the                                                      
283,i took them off and i wait for you to bring it in carrefour feuilles ,i find a to  i  to                                                    
284,notes: how can you have school without a room?,we are in the you the                                                      
285,we still sleep in the streets it raining ,i find in i  to                                                      
286,the region where we is dyeg around petion-ville. our means are weak for continuing to help ,i is the  to                                                       
287,i am 22 years old can you help get a job.i finished schoolmy mother's hope is on me please help. ,i find in the to                                                       
288,"sos sos sos on rue bartholy in nazon we need assistance -- watere, food, medicine, tents, tarps, etc - we have not received anything since emessage cut off ",the                                                           
289,i never found any help since the quake can i find at least a job? ,i find a to i                                                       
290,we gen 4 people who died around the marie of petioville. we did the beral ,i find the         to       food we to                                       
291,"good evening, i would like to write on this program. ",what that the  to the                                                      
292,i would like to subscribe to 4636. ,but is the                                                         
293,"i would like access to your programs, i also want to participate in the reconstruction of my beautiful and dear homeland that i love so much. ",we are in  you the we please we the   we are and the  we                                          
294,thank you for helping us help n ap year ,we please help we and this                                                      
295,could i have information regarding the quake? ,we are the                                                         
296,what should i do so i can find work? ,i find i  to i                                                      
297,if my home is not cracked can i sleep inside it? ,i  a to   i   to the                                                 
298,i want to be resistred in this programm ,what that i information for the                                                      
299,"when do the help will arrive in port-au-prince, particularly at savane crochu(croked desert) ",i find a the to  i                                                     
300,i would like to sign up for this service. ,what is the  in the                                                      
301,i need some info about the rebuilding the capital city. ,what that the  for the                                                      
302,what is the meaning of the word haverst ,but is the                                                         
303,how long it will take for the people who have their houses intact to re-enter there? ,i is a the to    we the to                                                 
304,we at masson we did not get tant. can the un do someting for us ,we are a the like the we the        to the                                           
305,good evening!!! for national and international organization which are helping to save many lives. please i want to eat but i do not have any food. ,i love a to i  the  to  the to the  to     will to  the    to                                 
306,"i'd like to know after this drama, will there be anywhere that i may see a psychologist, who maybe available because i have ",the                                                           
